
time,gFx,gFy,gFz,ax,ay,az,
0.004,-0.06,-0.03,0.94,-0.53,-0.38,0.29,
0.004,-0.06,-0.03,0.94,-0.78,-0.36,0.10,
0.005,-0.05,-0.02,0.95,-0.78,-0.36,0.10,
0.005,-0.03,-0.01,0.96,-0.78,-0.36,0.10,
0.005,-0.03,-0.01,0.96,-0.91,-0.44,-0.36,
0.005,-0.02,-0.00,0.97,-0.91,-0.44,-0.36,
0.007,-0.01,0.01,0.97,-0.91,-0.44,-0.36,
0.007,-0.01,0.01,0.97,-0.72,-0.34,-0.31,
0.011,-0.00,0.01,0.98,-0.72,-0.34,-0.31,
0.012,0.01,0.02,0.99,-0.72,-0.34,-0.31,
0.012,0.01,0.02,0.99,-0.46,-0.20,-0.16,
0.015,0.01,0.03,0.99,-0.46,-0.20,-0.16,
0.017,0.02,0.02,1.00,-0.46,-0.20,-0.16,
0.017,0.02,0.02,1.00,-0.26,-0.10,-0.01,
0.019,0.02,0.03,1.01,-0.26,-0.10,-0.01,
0.022,0.02,0.04,1.01,-0.26,-0.10,-0.01,
0.023,0.02,0.04,1.01,-0.14,-0.01,0.11,
0.025,0.02,0.04,1.01,-0.14,-0.01,0.11,
0.028,0.02,0.05,1.01,-0.14,-0.01,0.11,
0.028,0.02,0.05,1.01,-0.07,0.06,0.23,
0.029,0.03,0.05,1.01,-0.07,0.06,0.23,
0.032,0.13,0.07,1.01,-0.07,0.06,0.23,
0.032,0.13,0.07,1.01,-0.07,0.15,0.19,
0.035,0.19,0.09,1.01,-0.07,0.15,0.19,
0.037,0.15,0.10,1.00,-0.07,0.15,0.19,
0.037,0.15,0.10,1.00,0.53,0.32,0.20,
0.039,0.12,0.11,0.98,0.53,0.32,0.20,
0.042,0.10,0.12,0.97,0.53,0.32,0.20,
0.042,0.10,0.12,0.97,1.34,0.62,0.15,
0.044,0.08,0.13,0.97,1.34,0.62,0.15,
0.047,0.07,0.13,0.96,1.34,0.62,0.15,
0.047,0.07,0.13,0.96,0.78,0.80,-0.07,
0.049,0.06,0.13,0.96,0.78,0.80,-0.07,
0.052,0.06,0.14,0.92,0.78,0.80,-0.07,
0.052,0.06,0.14,0.92,0.42,0.96,-0.20,
0.054,0.05,0.14,0.93,0.42,0.96,-0.20,
0.057,0.04,0.13,0.94,0.42,0.96,-0.20,
0.057,0.04,0.13,0.94,0.29,0.98,-0.46,
0.062,0.05,0.13,0.95,0.29,0.98,-0.46,
0.062,0.04,0.12,0.97,0.29,0.98,-0.46,
0.062,0.04,0.12,0.97,0.18,0.99,-0.47,
0.064,0.05,0.11,0.98,0.18,0.99,-0.47,
0.067,0.04,0.10,1.00,0.18,0.99,-0.47,
0.067,0.04,0.10,1.00,0.15,0.89,-0.26,
0.069,0.04,0.09,1.00,0.15,0.89,-0.26,
0.072,0.04,0.08,1.01,0.15,0.89,-0.26,
0.072,0.04,0.08,1.01,0.13,0.71,0.03,
0.074,0.04,0.08,1.03,0.13,0.71,0.03,
0.076,0.03,0.07,1.03,0.13,0.71,0.03,
0.077,0.03,0.07,1.03,0.11,0.52,0.22,
0.079,0.02,0.06,1.05,0.11,0.52,0.22,
0.081,0.02,0.05,1.05,0.11,0.52,0.22,
0.081,0.02,0.05,1.05,0.02,0.42,0.43,
0.084,0.01,0.05,1.05,0.02,0.42,0.43,
0.086,0.01,0.05,1.05,-0.10,0.28,0.60,
0.087,0.00,0.05,1.06,-0.10,0.28,0.60,
0.089,-0.00,0.05,1.06,-0.10,0.28,0.60,
0.091,-0.00,0.05,1.07,-0.10,0.28,0.60,
0.091,-0.00,0.05,1.07,-0.21,0.24,0.69,
0.094,-0.01,0.04,1.07,-0.21,0.24,0.69,
0.096,-0.02,0.05,1.07,-0.21,0.24,0.69,
0.096,-0.02,0.05,1.07,-0.31,0.22,0.75,
0.099,-0.02,0.04,1.07,-0.31,0.22,0.75,
0.101,-0.03,0.04,1.08,-0.31,0.22,0.75,
0.101,-0.03,0.04,1.08,-0.43,0.19,0.80,
0.104,-0.03,0.04,1.08,-0.43,0.19,0.80,
0.106,-0.03,0.04,1.07,-0.43,0.19,0.80,
0.106,-0.03,0.04,1.07,-0.51,0.16,0.83,
0.108,-0.03,0.04,1.07,-0.51,0.16,0.83,
0.111,-0.03,0.04,1.08,-0.51,0.16,0.83,
0.111,-0.03,0.04,1.08,-0.56,0.12,0.82,
0.113,-0.03,0.04,1.07,-0.56,0.12,0.82,
0.117,-0.03,0.04,1.07,-0.56,0.12,0.82,
0.117,-0.03,0.04,1.07,-0.55,0.13,0.82,
0.119,-0.02,0.04,1.06,-0.55,0.13,0.82,
0.121,-0.02,0.04,1.06,-0.55,0.13,0.82,
0.122,-0.02,0.04,1.06,-0.53,0.13,0.78,
0.124,-0.02,0.04,1.05,-0.53,0.13,0.78,
0.127,-0.03,0.04,1.05,-0.53,0.13,0.78,
0.127,-0.03,0.04,1.05,-0.48,0.11,0.67,
0.129,-0.03,0.05,1.05,-0.48,0.11,0.67,
0.131,-0.03,0.05,1.05,-0.48,0.11,0.67,
0.131,-0.03,0.05,1.05,-0.48,0.13,0.55,
0.134,-0.02,0.05,1.04,-0.48,0.13,0.55,
0.136,-0.03,0.05,1.03,-0.48,0.13,0.55,
0.136,-0.03,0.05,1.03,-0.52,0.18,0.52,
0.139,-0.03,0.06,1.03,-0.52,0.18,0.52,
0.141,-0.03,0.06,1.03,-0.52,0.18,0.52,
0.141,-0.03,0.06,1.03,-0.49,0.21,0.43,
0.144,-0.03,0.06,1.03,-0.49,0.21,0.43,
0.146,-0.03,0.06,1.03,-0.53,0.29,0.32,
0.146,-0.03,0.07,1.03,-0.53,0.29,0.32,
0.148,-0.04,0.07,1.03,-0.53,0.29,0.32,
0.151,-0.04,0.07,1.03,-0.55,0.32,0.31,
0.151,-0.03,0.07,1.02,-0.55,0.32,0.31,
0.153,-0.03,0.07,1.02,-0.55,0.32,0.31,
0.156,-0.03,0.07,1.02,-0.57,0.34,0.30,
0.156,-0.03,0.06,1.02,-0.57,0.34,0.30,
0.159,-0.03,0.06,1.02,-0.57,0.34,0.30,
0.161,-0.03,0.06,1.02,-0.49,0.29,0.24,
0.163,-0.02,0.06,1.02,-0.49,0.29,0.24,
0.163,-0.02,0.05,1.02,-0.49,0.29,0.24,
0.166,-0.02,0.05,1.02,-0.49,0.29,0.24,
0.166,-0.02,0.05,1.02,-0.43,0.25,0.25,
0.168,-0.01,0.05,1.02,-0.43,0.25,0.25,
0.171,-0.01,0.05,1.02,-0.43,0.25,0.25,
0.171,-0.01,0.05,1.02,-0.35,0.17,0.23,
0.174,-0.02,0.04,1.03,-0.35,0.17,0.23,
0.176,-0.02,0.04,1.03,-0.35,0.17,0.23,
0.176,-0.02,0.04,1.03,-0.32,0.11,0.26,
0.182,-0.02,0.04,1.02,-0.32,0.11,0.26,
0.182,-0.02,0.03,1.02,-0.32,0.11,0.26,
0.182,-0.02,0.03,1.02,-0.34,0.04,0.31,
0.184,-0.02,0.03,1.03,-0.34,0.04,0.31,
0.185,-0.02,0.03,1.03,-0.34,0.04,0.31,
0.186,-0.02,0.03,1.03,-0.34,-0.00,0.28,
0.188,-0.03,0.03,1.03,-0.34,-0.00,0.28,
0.191,-0.03,0.03,1.03,-0.34,-0.00,0.28,
0.191,-0.03,0.03,1.03,-0.38,-0.03,0.33,
0.193,-0.04,0.03,1.04,-0.38,-0.03,0.33,
0.195,-0.04,0.03,1.04,-0.38,-0.03,0.33,
0.196,-0.04,0.03,1.04,-0.45,-0.04,0.32,
0.198,-0.05,0.03,1.05,-0.45,-0.04,0.32,
0.201,-0.05,0.04,1.05,-0.45,-0.04,0.32,
0.201,-0.05,0.04,1.05,-0.52,-0.03,0.42,
0.203,-0.05,0.04,1.04,-0.52,-0.03,0.42,
0.206,-0.06,0.04,1.05,-0.52,-0.03,0.42,
0.206,-0.06,0.04,1.05,-0.60,-0.01,0.51,
0.208,-0.05,0.04,1.05,-0.60,-0.01,0.51,
0.21,-0.05,0.04,1.05,-0.60,-0.01,0.51,
0.21,-0.05,0.04,1.05,-0.66,0.04,0.49,
0.213,-0.06,0.04,1.05,-0.66,0.04,0.49,
0.215,-0.06,0.04,1.05,-0.66,0.04,0.49,
0.215,-0.06,0.04,1.05,-0.65,0.06,0.48,
0.217,-0.07,0.04,1.04,-0.65,0.06,0.48,
0.221,-0.06,0.04,1.03,-0.65,0.06,0.48,
0.221,-0.06,0.04,1.03,-0.71,0.02,0.47,
0.223,-0.07,0.04,1.03,-0.71,0.02,0.47,
