
time,gFx,gFy,gFz,ax,ay,az,
0.005,-0.00,-0.05,1.03,0.00,-0.25,0.33,
0.005,-0.00,-0.05,1.03,-0.07,-0.29,0.28,
0.005,-0.00,-0.05,1.03,-0.07,-0.29,0.28,
0.006,-0.00,-0.05,1.03,-0.11,-0.28,0.30,
0.006,-0.00,-0.05,1.03,-0.11,-0.28,0.30,
0.006,-0.01,-0.05,1.03,-0.11,-0.28,0.30,
0.006,-0.00,-0.04,1.02,-0.11,-0.28,0.30,
0.006,-0.00,-0.04,1.02,-0.15,-0.34,0.28,
0.007,-0.00,-0.05,1.03,-0.15,-0.34,0.28,
0.014,-0.00,-0.04,1.03,-0.15,-0.34,0.28,
0.014,-0.00,-0.04,1.03,-0.14,-0.30,0.24,
0.014,-0.00,-0.04,1.03,-0.14,-0.30,0.24,
0.014,0.00,-0.03,1.02,-0.14,-0.30,0.24,
0.014,0.00,-0.03,1.02,-0.15,-0.31,0.26,
0.017,-0.00,-0.03,1.01,-0.15,-0.31,0.26,
0.02,-0.00,-0.03,1.01,-0.15,-0.31,0.26,
0.02,-0.00,-0.03,1.01,-0.13,-0.25,0.21,
0.028,0.00,-0.02,1.01,-0.13,-0.25,0.21,
0.028,0.01,-0.01,1.00,-0.13,-0.25,0.21,
0.028,0.01,-0.01,1.00,-0.13,-0.18,0.12,
0.028,0.01,-0.01,1.00,-0.13,-0.18,0.12,
0.03,0.01,-0.01,1.00,-0.06,-0.07,0.03,
0.03,0.01,0.00,1.00,-0.06,-0.07,0.03,
0.032,0.01,0.00,1.00,-0.06,-0.07,0.03,
0.034,0.02,0.01,0.99,-0.06,-0.07,0.03,
0.035,0.02,0.01,0.99,-0.01,-0.00,-0.01,
0.046,0.02,0.01,0.99,-0.01,-0.00,-0.01,
0.047,0.02,0.01,0.99,-0.01,-0.00,-0.01,
0.047,0.02,0.01,0.99,0.01,0.06,-0.08,
0.047,0.02,0.00,1.01,0.01,0.06,-0.08,
0.047,0.03,0.01,1.02,0.01,0.06,-0.08,
0.048,0.03,0.01,1.02,0.11,0.07,-0.10,
0.048,0.03,0.00,1.01,0.11,0.07,-0.10,
0.049,0.02,0.00,1.01,0.11,0.07,-0.10,
0.049,0.02,0.00,1.01,0.09,0.04,0.12,
0.052,0.02,0.00,1.01,0.09,0.04,0.12,
0.054,0.01,0.01,1.01,0.09,0.04,0.12,
0.054,0.01,0.01,1.01,0.12,-0.00,0.09,
0.063,0.01,0.01,1.02,0.12,-0.00,0.09,
0.064,0.01,0.01,1.02,0.12,-0.00,0.09,
0.064,0.01,0.01,1.02,0.04,0.00,0.11,
0.064,0.01,0.01,1.03,0.04,0.00,0.11,
0.064,0.01,0.01,1.03,0.04,0.00,0.11,
0.064,0.01,0.01,1.03,-0.02,0.00,0.18,
0.067,0.00,0.00,1.04,-0.02,0.00,0.18,
0.069,0.00,0.01,1.04,-0.02,0.00,0.18,
0.069,0.00,0.01,1.04,-0.06,-0.02,0.27,
0.078,0.01,0.00,1.04,-0.06,-0.02,0.27,
0.078,0.00,-0.00,1.04,-0.06,-0.02,0.27,
