
time,gFx,gFy,gFz,ax,ay,az,
0.002,-0.09,-0.01,0.93,-0.00,0.18,-0.79,
0.003,-0.09,-0.01,0.93,-0.12,0.27,-0.79,
0.003,-0.08,-0.02,0.93,-0.12,0.27,-0.79,
0.003,-0.08,-0.02,0.94,-0.12,0.27,-0.79,
0.003,-0.08,-0.02,0.94,-0.23,0.29,-0.74,
0.004,-0.08,-0.02,0.95,-0.23,0.29,-0.74,
0.006,-0.08,-0.03,0.95,-0.23,0.29,-0.74,
0.007,-0.08,-0.03,0.95,-0.17,0.20,-0.64,
0.008,-0.07,-0.03,0.95,-0.17,0.20,-0.64,
0.011,-0.06,-0.03,0.96,-0.17,0.20,-0.64,
0.011,-0.06,-0.03,0.96,-0.15,0.16,-0.50,
0.015,-0.06,-0.04,0.96,-0.15,0.16,-0.50,
0.015,-0.06,-0.04,0.96,-0.15,0.16,-0.50,
0.016,-0.06,-0.04,0.96,-0.02,0.08,-0.44,
0.018,-0.06,-0.04,0.96,-0.02,0.08,-0.44,
0.021,-0.06,-0.04,0.96,-0.02,0.08,-0.44,
0.021,-0.06,-0.04,0.96,0.02,0.06,-0.38,
0.023,-0.05,-0.04,0.96,0.02,0.06,-0.38,
0.028,-0.05,-0.04,0.95,0.02,0.06,-0.38,
0.028,-0.05,-0.04,0.95,0.08,0.07,-0.36,
0.028,-0.06,-0.05,0.95,0.08,0.07,-0.36,
0.031,-0.06,-0.04,0.95,0.08,0.07,-0.36,
0.031,-0.06,-0.04,0.95,0.09,0.00,-0.40,
0.033,-0.07,-0.04,0.95,0.09,0.00,-0.40,
0.036,-0.06,-0.04,0.94,0.09,0.00,-0.40,
0.036,-0.06,-0.04,0.94,0.05,0.01,-0.46,
0.038,-0.06,-0.04,0.93,0.05,0.01,-0.46,
0.041,-0.07,-0.04,0.95,0.05,0.01,-0.46,
0.041,-0.07,-0.04,0.95,0.00,0.05,-0.54,
0.046,-0.07,-0.04,0.94,0.00,0.05,-0.54,
0.047,-0.07,-0.05,0.95,0.00,0.05,-0.54,
0.047,-0.07,-0.05,0.95,-0.02,0.08,-0.55,
0.047,-0.08,-0.05,0.94,-0.02,0.08,-0.55,
0.05,-0.08,-0.05,0.94,-0.02,0.08,-0.55,
0.05,-0.08,-0.05,0.94,-0.09,0.02,-0.49,
0.052,-0.07,-0.05,0.94,-0.09,0.02,-0.49,
0.055,-0.07,-0.04,0.95,-0.09,0.02,-0.49,
0.055,-0.07,-0.04,0.95,-0.15,0.01,-0.54,
0.057,-0.07,-0.04,0.94,-0.15,0.01,-0.54,
0.06,-0.06,-0.04,0.95,-0.15,0.01,-0.54,
0.06,-0.06,-0.04,0.95,-0.13,0.05,-0.49,
0.063,-0.06,-0.05,0.96,-0.13,0.05,-0.49,
0.065,-0.06,-0.05,0.96,-0.03,0.06,-0.44,
0.065,-0.05,-0.05,0.96,-0.03,0.06,-0.44,
0.067,-0.05,-0.05,0.97,-0.03,0.06,-0.44,
0.07,-0.05,-0.06,0.97,-0.03,0.06,-0.44,
