
time,gFx,gFy,gFz,ax,ay,az,
0.001,0.02,0.18,0.86,0.00,0.40,-1.16,
0.001,0.02,0.18,0.86,0.14,0.51,-1.31,
0.001,0.02,0.20,0.87,0.14,0.51,-1.31,
0.003,0.01,0.20,0.87,0.14,0.51,-1.31,
0.003,0.01,0.20,0.87,0.27,0.63,-1.33,
0.006,-0.00,0.18,0.88,0.27,0.63,-1.33,
0.008,-0.01,0.16,0.89,0.27,0.63,-1.33,
0.008,-0.01,0.16,0.89,0.25,0.94,-1.18,
0.011,-0.01,0.14,0.90,0.25,0.94,-1.18,
0.014,-0.01,0.13,0.91,0.25,0.94,-1.18,
0.014,-0.01,0.13,0.91,0.08,0.65,-1.03,
0.016,-0.01,0.12,0.92,0.08,0.65,-1.03,
0.018,-0.00,0.11,0.92,0.08,0.65,-1.03,
0.018,-0.00,0.11,0.92,0.05,0.32,-0.86,
0.021,-0.00,0.11,0.93,0.05,0.32,-0.86,
0.023,0.00,0.10,0.93,0.05,0.32,-0.86,
0.023,0.00,0.10,0.93,0.08,0.11,-0.69,
0.026,0.01,0.10,0.93,0.08,0.11,-0.69,
0.028,0.02,0.10,0.94,0.08,0.11,-0.69,
0.028,0.02,0.10,0.94,0.13,0.04,-0.58,
0.031,0.02,0.10,0.94,0.13,0.04,-0.58,
0.033,0.03,0.09,0.94,0.13,0.04,-0.58,
0.033,0.03,0.09,0.94,0.27,-0.02,-0.54,
0.036,0.04,0.10,0.95,0.27,-0.02,-0.54,
0.038,0.05,0.10,0.95,0.27,-0.02,-0.54,
0.038,0.05,0.10,0.95,0.39,-0.04,-0.46,
0.04,0.06,0.10,0.95,0.39,-0.04,-0.46,
0.043,0.06,0.10,0.95,0.39,-0.04,-0.46,
0.043,0.06,0.10,0.95,0.56,0.03,-0.39,
0.045,0.08,0.09,0.95,0.56,0.03,-0.39,
0.048,0.08,0.09,0.96,0.56,0.03,-0.39,
0.049,0.08,0.09,0.96,0.72,-0.01,-0.37,
0.05,0.09,0.08,0.96,0.72,-0.01,-0.37,
0.053,0.09,0.08,0.95,0.72,-0.01,-0.37,
0.053,0.09,0.08,0.95,0.90,-0.07,-0.35,
0.055,0.10,0.08,0.95,0.90,-0.07,-0.35,
0.058,0.10,0.08,0.95,0.90,-0.07,-0.35,
0.058,0.10,0.08,0.95,0.97,-0.13,-0.33,
0.06,0.11,0.07,0.95,0.97,-0.13,-0.33,
0.063,0.11,0.07,0.94,0.97,-0.13,-0.33,
0.063,0.11,0.07,0.94,1.07,-0.15,-0.40,
0.065,0.11,0.07,0.93,1.07,-0.15,-0.40,
0.068,0.11,0.07,0.93,1.07,-0.15,-0.40,
0.068,0.11,0.07,0.93,1.15,-0.23,-0.44,
0.07,0.11,0.07,0.92,1.15,-0.23,-0.44,
0.073,0.11,0.07,0.92,1.15,-0.23,-0.44,
0.073,0.11,0.07,0.92,1.15,-0.23,-0.58,
0.075,0.10,0.06,0.92,1.15,-0.23,-0.58,
0.078,0.10,0.07,0.92,1.15,-0.23,-0.58,
0.078,0.10,0.07,0.92,1.13,-0.27,-0.65,
0.081,0.10,0.07,0.92,1.13,-0.27,-0.65,
0.083,0.10,0.07,0.92,1.13,-0.27,-0.65,
0.083,0.10,0.07,0.92,1.03,-0.30,-0.64,
0.085,0.10,0.07,0.92,1.03,-0.30,-0.64,
0.087,0.09,0.08,0.92,1.03,-0.30,-0.64,
0.088,0.09,0.08,0.92,0.97,-0.26,-0.61,
0.09,0.09,0.08,0.92,0.97,-0.26,-0.61,
0.093,0.09,0.08,0.92,0.91,-0.20,-0.63,
0.093,0.09,0.08,0.93,0.91,-0.20,-0.63,
0.095,0.09,0.08,0.92,0.91,-0.20,-0.63,
0.097,0.09,0.08,0.92,0.91,-0.20,-0.63,
