
time,gFx,gFy,gFz,ax,ay,az,
0.003,-0.10,0.16,0.94,-0.46,0.19,-0.36,
0.003,-0.09,0.17,0.94,-0.46,0.19,-0.36,
0.003,-0.09,0.17,0.94,-0.46,0.21,-0.37,
0.004,-0.09,0.17,0.96,-0.46,0.21,-0.37,
0.007,-0.09,0.17,0.97,-0.46,0.21,-0.37,
0.007,-0.09,0.17,0.97,-0.45,0.21,-0.26,
0.009,-0.09,0.17,0.98,-0.45,0.21,-0.26,
0.012,-0.08,0.18,0.99,-0.45,0.21,-0.26,
0.012,-0.08,0.18,0.99,-0.44,0.25,-0.04,
0.014,-0.08,0.18,1.00,-0.44,0.25,-0.04,
0.017,-0.08,0.17,1.01,-0.44,0.25,-0.04,
0.017,-0.08,0.17,1.01,-0.36,0.31,0.15,
0.019,-0.08,0.18,1.01,-0.36,0.31,0.15,
0.021,-0.07,0.17,1.02,-0.36,0.31,0.15,
0.022,-0.07,0.17,1.02,-0.29,0.34,0.36,
0.024,-0.07,0.17,1.02,-0.29,0.34,0.36,
0.026,-0.07,0.17,1.02,-0.26,0.34,0.45,
0.027,-0.07,0.16,1.02,-0.26,0.34,0.45,
0.029,-0.06,0.16,1.02,-0.26,0.34,0.45,
0.031,-0.06,0.15,1.02,-0.26,0.34,0.45,
0.032,-0.06,0.15,1.02,-0.22,0.25,0.46,
0.034,-0.05,0.15,1.03,-0.22,0.25,0.46,
0.036,-0.04,0.15,1.03,-0.22,0.25,0.46,
0.037,-0.04,0.15,1.03,-0.14,0.18,0.47,
0.039,-0.04,0.14,1.03,-0.14,0.18,0.47,
0.041,-0.04,0.13,1.03,-0.14,0.18,0.47,
0.041,-0.04,0.13,1.03,0.01,0.13,0.54,
0.043,-0.04,0.13,1.02,0.01,0.13,0.54,
0.046,-0.04,0.13,1.02,0.01,0.13,0.54,
0.046,-0.04,0.13,1.02,0.01,0.01,0.52,
0.048,-0.04,0.13,1.02,0.01,0.01,0.52,
0.051,-0.04,0.13,1.02,0.01,-0.04,0.49,
0.051,-0.04,0.12,1.02,0.01,-0.04,0.49,
0.053,-0.04,0.12,1.02,0.01,-0.04,0.49,
0.056,-0.04,0.12,1.02,0.01,-0.04,0.49,
0.056,-0.04,0.12,1.02,0.05,-0.06,0.42,
0.058,-0.05,0.12,1.02,0.05,-0.06,0.42,
0.061,-0.05,0.13,1.02,0.05,-0.06,0.42,
0.061,-0.05,0.13,1.02,-0.04,-0.06,0.41,
0.063,-0.05,0.13,1.02,-0.04,-0.06,0.41,
0.066,-0.05,0.14,1.01,-0.04,-0.06,0.41,
0.066,-0.05,0.14,1.01,-0.09,-0.03,0.41,
0.068,-0.05,0.14,1.01,-0.09,-0.03,0.41,
0.071,-0.05,0.15,1.01,-0.09,-0.03,0.41,
0.071,-0.05,0.15,1.01,-0.13,0.06,0.36,
0.073,-0.05,0.15,1.01,-0.13,0.06,0.36,
0.076,-0.04,0.15,1.01,-0.13,0.06,0.36,
0.076,-0.04,0.15,1.01,-0.12,0.16,0.33,
0.078,-0.04,0.15,1.00,-0.12,0.16,0.33,
0.082,-0.03,0.15,1.00,-0.12,0.16,0.33,
0.082,-0.03,0.15,1.00,-0.10,0.21,0.30,
0.083,-0.03,0.15,1.00,-0.10,0.21,0.30,
